Mes,count,mean,std,min,25%,50%,75%,max
1,740.0,27.437837837837836,9.483133702424118,9.0,21.0,26.0,33.0,99.0
2,665.0,29.642105263157895,16.235411479929848,7.0,22.0,27.0,35.0,351.0
3,744.0,29.530913978494624,13.966085097316428,8.0,20.0,26.0,35.0,112.0
4,720.0,28.643055555555556,14.475400709454426,7.0,19.0,24.0,36.0,118.0
5,743.0,31.69044414535666,13.572149328811085,9.0,22.0,29.0,38.0,98.0
6,720.0,32.56944444444444,19.77307028392653,7.0,20.0,27.0,41.0,155.0
7,743.0,33.73351278600269,21.406829260575073,4.0,22.0,29.0,40.0,318.0
8,744.0,40.98924731182796,27.10469989437362,4.0,25.0,34.0,48.0,283.0
9,720.0,31.07777777777778,16.74789109030751,7.0,19.0,28.0,38.0,190.0
10,744.0,20.801075268817204,8.787039209063638,5.0,14.0,19.0,26.0,69.0
11,720.0,24.41111111111111,10.96601851384775,8.0,17.0,22.0,29.0,106.0
12,717.0,22.581589958158997,10.615451804872697,7.0,16.0,20.0,26.0,124.0
