Mes,count,mean,std,min,25%,50%,75%,max
1,8.0,4.25,0.4629100498862757,4.0,4.0,4.0,4.25,5.0
2,4.0,3.75,0.5,3.0,3.75,4.0,4.0,4.0
3,4.0,1.75,0.5,1.0,1.75,2.0,2.0,2.0
4,0.0,,,,,,,
5,9.0,10.333333333333334,12.845232578665128,0.0,3.0,8.0,11.0,43.0
6,9.0,12.0,16.650825805346713,3.0,5.0,7.0,9.0,56.0
7,6.0,84.66666666666667,132.76545735494102,7.0,7.75,15.0,98.75,339.0
8,7.0,65.42857142857143,144.91130292108244,8.0,9.0,10.0,14.0,394.0
9,11.0,8.363636363636363,6.727149876028143,3.0,5.0,5.0,9.0,26.0
10,8.0,10.0,2.0,6.0,9.5,11.0,11.0,12.0
11,4.0,12.5,3.696845502136472,8.0,10.25,13.0,15.25,16.0
12,6.0,40.166666666666664,39.468552882854304,3.0,12.25,40.5,42.5,111.0
