,count,mean,std,min,25%,50%,75%,max,Estação
PTS (SC_002),8720.0,29.44782110091743,16.945011552541377,4.0,19.0,26.0,35.0,351.0,SC_002
SO2 (SC_002),76.0,22.18421052631579,60.651949246239575,0.0,4.0,7.5,11.0,394.0,SC_002
MP10 (SC_002),8711.0,22.229479967856733,12.75713379385208,0.0,14.0,20.0,27.0,260.0,SC_002
NO2 (SC_002),62.0,9.887096774193548,13.507866364758948,0.0,3.25,6.5,10.0,95.0,SC_002
PTS (SC_003),5547.0,32.53073733549667,22.70939947707781,0.0,20.0,27.0,39.0,449.0,SC_003
SO2 (SC_003),61.0,16.80327868852459,53.49355714231112,0.0,2.0,4.0,10.0,367.0,SC_003
MP10 (SC_003),5903.0,18.121633067931562,13.521101067822848,0.0,9.0,16.0,24.0,156.0,SC_003
NO2 (SC_003),40.0,8.975,6.708156153098925,0.0,5.0,7.0,11.25,27.0,SC_003
PTS (SC_001),8662.0,36.60609558993304,23.779497383320663,4.0,24.0,32.0,44.0,985.0,SC_001
SO2 (SC_001),59.0,7.067796610169491,15.633589398316712,0.0,2.0,3.0,6.0,116.0,SC_001
MP10 (SC_001),8541.0,27.07926472310034,17.19222952908133,0.0,18.0,25.0,33.0,985.0,SC_001
NO2 (SC_001),84.0,12.619047619047619,8.942796470936631,0.0,5.75,11.0,18.0,44.0,SC_001
