Hora,count,mean,std,min,25%,50%,75%,max
0,248.0,14.883064516129032,9.061108080116114,0.0,8.0,14.0,20.0,54.0
1,253.0,13.063241106719367,8.067421290532586,0.0,7.0,11.0,18.0,50.0
2,253.0,12.347826086956522,8.446702959751168,0.0,6.0,11.0,16.0,57.0
3,246.0,11.991869918699187,10.35492266643782,0.0,6.0,9.0,16.0,93.0
4,246.0,11.247967479674797,7.102708303158341,0.0,6.0,10.0,16.0,38.0
5,244.0,10.926229508196721,6.79041691331057,0.0,6.0,9.0,15.0,37.0
6,242.0,12.020661157024794,8.061201761208839,0.0,6.0,11.0,17.0,43.0
7,243.0,16.843621399176953,10.612649869118403,0.0,9.0,16.0,23.0,63.0
8,246.0,19.53252032520325,12.950335247003812,0.0,10.0,17.0,26.0,93.0
9,235.0,18.885106382978723,11.688605356540275,1.0,10.0,16.0,24.5,57.0
10,242.0,21.082644628099175,15.811171415320217,1.0,11.0,17.0,27.0,152.0
11,237.0,20.80168776371308,15.919245271706178,0.0,11.0,18.0,26.0,143.0
12,246.0,18.54471544715447,10.464908929287967,1.0,11.0,17.0,26.0,55.0
13,235.0,20.70212765957447,14.256974442007099,0.0,12.0,19.0,26.0,144.0
14,246.0,21.926829268292682,13.4635839797171,0.0,12.0,19.0,29.75,77.0
15,246.0,22.739837398373982,18.007181061159216,0.0,12.0,19.0,28.0,142.0
16,246.0,22.752032520325205,15.386964265942359,1.0,11.0,20.5,30.75,106.0
17,245.0,25.853061224489796,18.09817378298217,3.0,13.0,22.0,34.0,112.0
18,249.0,25.49397590361446,18.011895818688494,1.0,13.0,22.0,32.0,156.0
19,249.0,22.269076305220885,14.680326407050394,0.0,12.0,19.0,29.0,134.0
20,251.0,20.884462151394423,14.796438679951395,0.0,11.0,18.0,27.0,121.0
21,251.0,19.04780876494024,12.991293437502014,1.0,9.0,17.0,25.5,99.0
22,251.0,16.52191235059761,10.864737361219868,0.0,8.0,15.0,22.0,66.0
23,253.0,14.952569169960475,9.683366287551399,0.0,8.0,13.0,20.0,52.0
