Hora,count,mean,std,min,25%,50%,75%,max
0,0.0,,,,,,,
1,2.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0
2,5.0,5.0,2.345207879911715,2.0,3.0,6.0,7.0,7.0
3,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
4,3.0,6.0,2.0,4.0,5.0,6.0,7.0,8.0
5,3.0,6.666666666666667,2.516611478423583,4.0,5.5,7.0,8.0,9.0
6,0.0,,,,,,,
7,4.0,15.5,8.582928793055823,8.0,8.75,14.0,20.75,26.0
8,5.0,16.4,16.024980499208105,4.0,8.0,10.0,16.0,44.0
9,2.0,14.0,7.0710678118654755,9.0,11.5,14.0,16.5,19.0
10,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
11,2.0,4.5,3.5355339059327378,2.0,3.25,4.5,5.75,7.0
12,3.0,3.0,1.0,2.0,2.5,3.0,3.5,4.0
13,3.0,16.666666666666668,3.7859388972001824,14.0,14.5,15.0,18.0,21.0
14,3.0,4.333333333333333,4.932882862316247,1.0,1.5,2.0,6.0,10.0
15,3.0,4.666666666666667,3.214550253664318,1.0,3.5,6.0,6.5,7.0
16,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
17,4.0,10.5,10.408329997330663,4.0,4.75,6.0,11.75,26.0
18,4.0,27.25,45.17650569340957,4.0,4.0,5.0,28.25,95.0
19,3.0,7.333333333333333,7.767453465154029,1.0,3.0,5.0,10.5,16.0
20,2.0,4.0,1.4142135623730951,3.0,3.5,4.0,4.5,5.0
21,3.0,12.0,10.392304845413264,0.0,9.0,18.0,18.0,18.0
22,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
23,4.0,10.0,8.524474568362947,3.0,4.5,7.5,13.0,22.0
