Hora,count,mean,std,min,25%,50%,75%,max
0,362.0,31.502762430939228,14.072674179160934,7.0,21.0,29.0,38.0,122.0
1,362.0,29.87292817679558,12.366758532848678,7.0,21.0,28.0,36.75,91.0
2,362.0,28.26795580110497,10.98588975226907,8.0,21.0,26.0,34.0,84.0
3,362.0,27.751381215469614,10.789810560773285,7.0,20.0,26.0,34.0,72.0
4,361.0,26.653739612188367,10.428022803368115,7.0,20.0,25.0,32.0,102.0
5,362.0,26.7707182320442,9.427955367894029,8.0,21.0,26.0,31.0,84.0
6,361.0,27.889196675900276,9.398813144197755,6.0,21.0,27.0,33.0,73.0
7,360.0,32.80277777777778,13.470797593521807,8.0,24.0,31.0,40.0,143.0
8,360.0,36.34166666666667,17.315278567389417,7.0,25.0,33.0,45.0,165.0
9,359.0,35.64345403899721,16.07040742296847,4.0,24.0,33.0,44.0,115.0
10,361.0,36.526315789473685,16.612578902078322,7.0,25.0,34.0,45.0,148.0
11,361.0,37.498614958448755,19.080403654846688,8.0,27.0,35.0,47.0,205.0
12,360.0,37.01111111111111,15.696810132767927,7.0,26.0,35.0,45.0,96.0
13,363.0,40.10192837465565,18.55060486945048,8.0,28.0,37.0,48.0,115.0
14,363.0,40.539944903581265,20.479215362786952,7.0,27.0,37.0,50.0,188.0
15,361.0,40.36842105263158,19.702650695894814,5.0,28.0,37.0,48.0,194.0
16,361.0,40.67036011080332,19.149541106569167,6.0,27.0,38.0,48.0,117.0
17,362.0,43.33701657458563,23.268687362486347,6.0,29.0,38.0,52.0,179.0
18,362.0,46.43370165745856,26.802804502440853,11.0,29.0,40.0,57.0,238.0
19,362.0,51.07182320441989,61.9128628264783,9.0,29.0,40.0,57.0,985.0
20,362.0,44.98618784530387,27.3723140419099,9.0,26.0,40.0,54.0,233.0
21,363.0,43.70798898071625,40.473340479765675,5.0,26.0,37.0,52.5,686.0
22,363.0,38.36363636363637,27.684090011755945,8.0,24.0,33.0,47.5,429.0
23,347.0,34.23342939481268,16.292493769652403,6.0,23.0,31.0,43.0,119.0
