Hora,count,mean,std,min,25%,50%,75%,max
0,4.0,7.25,2.6299556396765835,5.0,5.0,7.0,9.25,10.0
1,4.0,18.5,25.03996805109783,5.0,5.0,6.5,20.0,56.0
2,5.0,26.0,47.618273803236505,2.0,3.0,4.0,10.0,111.0
3,2.0,7.0,5.656854249492381,3.0,5.0,7.0,9.0,11.0
4,4.0,94.25,163.25108473350696,8.0,9.5,15.0,99.75,339.0
5,4.0,5.25,2.217355782608345,3.0,3.75,5.0,6.5,8.0
6,4.0,15.25,18.553975315279473,5.0,5.0,6.5,16.75,43.0
7,1.0,7.0,,7.0,7.0,7.0,7.0,7.0
8,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
9,4.0,11.75,3.685557397915997,7.0,10.75,12.0,13.0,16.0
10,4.0,45.0,56.11892134862656,5.0,6.5,25.0,63.5,125.0
11,3.0,138.66666666666666,221.1251530996267,11.0,11.0,11.0,202.5,394.0
12,3.0,4.333333333333333,2.309401076758503,3.0,3.0,3.0,5.0,7.0
13,2.0,13.0,1.4142135623730951,12.0,12.5,13.0,13.5,14.0
14,2.0,16.0,14.142135623730951,6.0,11.0,16.0,21.0,26.0
15,4.0,3.25,0.9574271077563381,2.0,2.75,3.5,4.0,4.0
16,1.0,16.0,,16.0,16.0,16.0,16.0,16.0
17,1.0,8.0,,8.0,8.0,8.0,8.0,8.0
18,4.0,3.75,1.2583057392117916,2.0,3.5,4.0,4.25,5.0
19,1.0,15.0,,15.0,15.0,15.0,15.0,15.0
20,6.0,13.0,14.324803663575986,1.0,5.5,10.5,11.0,41.0
21,3.0,7.666666666666667,2.309401076758503,5.0,7.0,9.0,9.0,9.0
22,7.0,11.857142857142858,12.772738827004064,4.0,4.5,8.0,11.0,40.0
23,2.0,4.0,2.8284271247461903,2.0,3.0,4.0,5.0,6.0
