Mes,count,mean,std,min,25%,50%,75%,max
1,742.0,16.993261455525605,9.399727671944408,1.0,10.0,15.0,22.0,51.0
2,668.0,16.08682634730539,8.813660182062954,0.0,9.0,15.0,21.0,58.0
3,726.0,15.446280991735538,9.648541426927784,0.0,9.0,13.0,21.0,86.0
4,709.0,16.517630465444288,12.888539429068905,0.0,8.0,14.0,21.0,122.0
5,738.0,23.806233062330623,17.139672505017657,0.0,12.0,20.0,32.0,144.0
6,695.0,18.384172661870505,12.486097507980244,0.0,9.0,16.0,25.0,84.0
7,691.0,15.738060781476122,13.264182401667508,0.0,6.5,13.0,21.0,156.0
8,625.0,22.1328,19.6975519759729,0.0,9.0,17.0,30.0,152.0
9,78.0,20.807692307692307,14.07406908393662,6.0,11.25,17.0,27.0,80.0
10,0.0,,,,,,,
11,0.0,,,,,,,
12,231.0,17.38095238095238,10.18491557039053,0.0,9.0,16.0,23.5,57.0
