Mes,count,mean,std,min,25%,50%,75%,max
1,6.0,7.166666666666667,5.636192568273964,0.0,2.5,8.5,10.75,14.0
2,11.0,15.272727272727273,5.217104735212992,9.0,11.5,13.0,19.0,24.0
3,4.0,7.25,5.377421934967226,2.0,3.5,6.5,10.25,14.0
4,12.0,17.0,8.146387933534491,3.0,11.75,16.0,22.5,34.0
5,8.0,16.875,11.444743022765643,2.0,10.5,13.0,26.75,34.0
6,6.0,15.333333333333334,9.709102258533829,2.0,8.25,19.0,20.0,27.0
7,4.0,12.75,8.180260794538684,5.0,8.0,11.0,15.75,24.0
8,11.0,5.090909090909091,2.809076198843508,0.0,3.5,5.0,7.5,9.0
9,4.0,11.5,10.408329997330663,3.0,4.5,8.5,15.5,26.0
10,7.0,9.428571428571429,7.1614044911395895,4.0,4.5,6.0,12.5,22.0
11,8.0,17.125,13.421065531469548,6.0,8.0,12.0,19.75,44.0
12,3.0,11.0,9.16515138991168,3.0,6.0,9.0,15.0,21.0
