Mes,count,mean,std,min,25%,50%,75%,max
1,737.0,29.564450474898237,18.362783894068865,8.0,20.0,26.0,35.0,391.0
2,649.0,29.040061633281972,16.469058080845716,3.0,19.0,26.0,34.0,163.0
3,688.0,30.936046511627907,22.18426163759801,5.0,18.0,26.0,38.0,238.0
4,692.0,30.36705202312139,18.80175996265728,0.0,18.0,26.0,38.0,150.0
5,737.0,41.70420624151967,29.365100481783347,6.0,24.0,33.0,51.0,373.0
6,693.0,33.112554112554115,16.333819873081517,8.0,22.0,30.0,40.0,150.0
7,675.0,29.54074074074074,26.909222869025424,2.0,17.0,25.0,35.5,449.0
8,610.0,35.7,26.84982562865164,6.0,18.0,28.0,43.0,290.0
9,66.0,32.03030303030303,14.50832089841465,19.0,23.0,28.5,34.75,93.0
10,0.0,,,,,,,
11,0.0,,,,,,,
12,0.0,,,,,,,
