Mes,count,mean,std,min,25%,50%,75%,max
1,6.0,5.5,2.345207879911715,3.0,3.5,5.5,6.75,9.0
2,5.0,11.8,14.11382301150188,5.0,5.0,5.0,7.0,37.0
3,7.0,2.5714285714285716,2.2253945610567474,0.0,1.5,2.0,3.0,7.0
4,0.0,,,,,,,
5,0.0,,,,,,,
6,0.0,,,,,,,
7,8.0,2.375,0.5175491695067657,2.0,2.0,2.0,3.0,3.0
8,4.0,6.25,7.544313531837517,1.0,1.0,3.5,8.75,17.0
9,10.0,20.9,33.88362436340009,4.0,6.0,11.5,12.75,116.0
10,7.0,4.571428571428571,2.439750182371333,3.0,3.5,4.0,4.0,10.0
11,4.0,3.5,1.7320508075688772,2.0,2.75,3.0,3.75,6.0
12,8.0,1.0,1.7728105208558367,0.0,0.0,0.0,1.25,5.0
