id_loc,loc_name,loc_code,loc_acronym,published_date,count
5573,Acre,12,AC,2006-12-31 22:00:00-02,1
5573,Acre,12,AC,2012-12-31 22:00:00-02,1
5573,Acre,12,AC,2015-12-31 22:00:00-02,2
5573,Acre,12,AC,2016-12-31 22:00:00-02,1
5573,Acre,12,AC,2021-12-31 21:00:00-03,1
5574,Amazonas,13,AM,2001-12-31 22:00:00-02,1
5574,Amazonas,13,AM,2003-12-31 22:00:00-02,1
5574,Amazonas,13,AM,2010-12-31 22:00:00-02,1
5574,Amazonas,13,AM,2012-12-31 22:00:00-02,2
5574,Amazonas,13,AM,2014-12-31 22:00:00-02,1
5574,Amazonas,13,AM,2015-12-31 22:00:00-02,5
5574,Amazonas,13,AM,2016-12-31 22:00:00-02,6
5574,Amazonas,13,AM,2017-12-31 22:00:00-02,3
5574,Amazonas,13,AM,2018-12-31 22:00:00-02,4
5574,Amazonas,13,AM,2019-12-31 21:00:00-03,1
5574,Amazonas,13,AM,2021-12-31 21:00:00-03,4
5574,Amazonas,13,AM,2022-12-31 21:00:00-03,2
5574,Amazonas,13,AM,2023-12-31 21:00:00-03,1
5575,Pará,15,PA,2001-12-31 22:00:00-02,1
5575,Pará,15,PA,2010-12-31 22:00:00-02,1
5575,Pará,15,PA,2016-12-31 22:00:00-02,2
5575,Pará,15,PA,2019-12-31 21:00:00-03,1
5575,Pará,15,PA,2020-12-31 21:00:00-03,1
5576,Amapá,16,AP,2021-12-31 21:00:00-03,1
5577,Tocantins,17,TO,2019-12-31 21:00:00-03,1
5578,Maranhão,21,MA,2013-12-31 22:00:00-02,1
5578,Maranhão,21,MA,2014-12-31 22:00:00-02,1
5578,Maranhão,21,MA,2016-12-31 22:00:00-02,1
5578,Maranhão,21,MA,2018-12-31 22:00:00-02,2
5578,Maranhão,21,MA,2019-12-31 21:00:00-03,2
5578,Maranhão,21,MA,2020-12-31 21:00:00-03,1
5578,Maranhão,21,MA,2022-12-31 21:00:00-03,1
5578,Maranhão,21,MA,2023-12-31 21:00:00-03,2
5579,Piauí,22,PI,2016-12-31 22:00:00-02,2
5579,Piauí,22,PI,2020-12-31 21:00:00-03,1
5579,Piauí,22,PI,2021-12-31 21:00:00-03,1
5580,Ceará,23,CE,2013-12-31 22:00:00-02,1
5580,Ceará,23,CE,2017-12-31 22:00:00-02,1
5580,Ceará,23,CE,2019-12-31 21:00:00-03,1
5580,Ceará,23,CE,2020-12-31 21:00:00-03,3
5580,Ceará,23,CE,2021-12-31 21:00:00-03,3
5580,Ceará,23,CE,2023-12-31 21:00:00-03,1
5581,Rio Grande do Norte,24,RN,2013-12-31 22:00:00-02,2
5581,Rio Grande do Norte,24,RN,2015-12-31 22:00:00-02,1
5581,Rio Grande do Norte,24,RN,2017-12-31 22:00:00-02,3
5581,Rio Grande do Norte,24,RN,2019-12-31 21:00:00-03,2
5581,Rio Grande do Norte,24,RN,2020-12-31 21:00:00-03,1
5581,Rio Grande do Norte,24,RN,2021-12-31 21:00:00-03,1
5582,Paraíba,25,PB,2013-12-31 22:00:00-02,2
5582,Paraíba,25,PB,2014-12-31 22:00:00-02,1
5582,Paraíba,25,PB,2015-12-31 22:00:00-02,1
5582,Paraíba,25,PB,2016-12-31 22:00:00-02,1
5582,Paraíba,25,PB,2021-12-31 21:00:00-03,1
