id_loc,loc_name,loc_code,published_date,count
5600,Southeast,4,1992-12-31 22:00:00-02,1
5600,Southeast,4,1993-12-31 22:00:00-02,1
5600,Southeast,4,1994-12-31 22:00:00-02,1
5600,Southeast,4,1996-12-31 22:00:00-02,2
5600,Southeast,4,1997-12-31 22:00:00-02,1
5600,Southeast,4,1998-12-31 22:00:00-02,3
5600,Southeast,4,2000-12-31 22:00:00-02,2
5600,Southeast,4,2001-12-31 22:00:00-02,4
5600,Southeast,4,2002-12-31 22:00:00-02,5
5600,Southeast,4,2003-12-31 22:00:00-02,6
5600,Southeast,4,2004-12-31 22:00:00-02,6
5600,Southeast,4,2005-12-31 22:00:00-02,5
5600,Southeast,4,2006-12-31 22:00:00-02,10
5600,Southeast,4,2007-12-31 22:00:00-02,14
5600,Southeast,4,2008-12-31 22:00:00-02,9
5600,Southeast,4,2009-12-31 22:00:00-02,11
5600,Southeast,4,2010-12-31 22:00:00-02,11
5600,Southeast,4,2011-12-31 22:00:00-02,15
5600,Southeast,4,2012-12-31 22:00:00-02,16
5600,Southeast,4,2013-12-31 22:00:00-02,12
5600,Southeast,4,2014-12-31 22:00:00-02,18
5600,Southeast,4,2015-12-31 22:00:00-02,30
5600,Southeast,4,2016-12-31 22:00:00-02,22
5600,Southeast,4,2017-12-31 22:00:00-02,30
5600,Southeast,4,2018-12-31 22:00:00-02,35
5600,Southeast,4,2019-12-31 21:00:00-03,44
5600,Southeast,4,2020-12-31 21:00:00-03,39
5600,Southeast,4,2021-12-31 21:00:00-03,29
5600,Southeast,4,2022-12-31 21:00:00-03,28
5600,Southeast,4,2023-12-31 21:00:00-03,18
5601,South,5,2001-12-31 22:00:00-02,1
5601,South,5,2002-12-31 22:00:00-02,1
5601,South,5,2003-12-31 22:00:00-02,3
5601,South,5,2005-12-31 22:00:00-02,2
5601,South,5,2006-12-31 22:00:00-02,1
5601,South,5,2009-12-31 22:00:00-02,1
5601,South,5,2011-12-31 22:00:00-02,6
5601,South,5,2012-12-31 22:00:00-02,6
5601,South,5,2013-12-31 22:00:00-02,7
5601,South,5,2014-12-31 22:00:00-02,5
5601,South,5,2015-12-31 22:00:00-02,8
5601,South,5,2016-12-31 22:00:00-02,6
5601,South,5,2017-12-31 22:00:00-02,16
5601,South,5,2018-12-31 22:00:00-02,7
5601,South,5,2019-12-31 21:00:00-03,10
5601,South,5,2020-12-31 21:00:00-03,8
5601,South,5,2021-12-31 21:00:00-03,7
5601,South,5,2022-12-31 21:00:00-03,5
5601,South,5,2023-12-31 21:00:00-03,5
5602,North,3,2001-12-31 22:00:00-02,3
5602,North,3,2003-12-31 22:00:00-02,3
5602,North,3,2006-12-31 22:00:00-02,1
5602,North,3,2008-12-31 22:00:00-02,4
5602,North,3,2010-12-31 22:00:00-02,2
5602,North,3,2011-12-31 22:00:00-02,1
5602,North,3,2012-12-31 22:00:00-02,3
5602,North,3,2014-12-31 22:00:00-02,3
5602,North,3,2015-12-31 22:00:00-02,8
5602,North,3,2016-12-31 22:00:00-02,11
5602,North,3,2017-12-31 22:00:00-02,4
5602,North,3,2018-12-31 22:00:00-02,4
5602,North,3,2019-12-31 21:00:00-03,3
5602,North,3,2020-12-31 21:00:00-03,2
5602,North,3,2021-12-31 21:00:00-03,5
5602,North,3,2022-12-31 21:00:00-03,3
5602,North,3,2023-12-31 21:00:00-03,3
5603,Northeast,2,1997-12-31 22:00:00-02,1
5603,Northeast,2,2006-12-31 22:00:00-02,1
5603,Northeast,2,2007-12-31 22:00:00-02,2
5603,Northeast,2,2008-12-31 22:00:00-02,1
5603,Northeast,2,2009-12-31 22:00:00-02,3
5603,Northeast,2,2010-12-31 22:00:00-02,2
5603,Northeast,2,2011-12-31 22:00:00-02,3
5603,Northeast,2,2012-12-31 22:00:00-02,3
5603,Northeast,2,2013-12-31 22:00:00-02,10
5603,Northeast,2,2014-12-31 22:00:00-02,4
5603,Northeast,2,2015-12-31 22:00:00-02,5
5603,Northeast,2,2016-12-31 22:00:00-02,8
5603,Northeast,2,2017-12-31 22:00:00-02,8
5603,Northeast,2,2018-12-31 22:00:00-02,4
5603,Northeast,2,2019-12-31 21:00:00-03,6
5603,Northeast,2,2020-12-31 21:00:00-03,7
5603,Northeast,2,2021-12-31 21:00:00-03,7
5603,Northeast,2,2022-12-31 21:00:00-03,7
5603,Northeast,2,2023-12-31 21:00:00-03,5
5604,Midwest,1,1997-12-31 22:00:00-02,1
5604,Midwest,1,2003-12-31 22:00:00-02,1
5604,Midwest,1,2006-12-31 22:00:00-02,1
5604,Midwest,1,2009-12-31 22:00:00-02,1
5604,Midwest,1,2010-12-31 22:00:00-02,4
5604,Midwest,1,2011-12-31 22:00:00-02,2
5604,Midwest,1,2013-12-31 22:00:00-02,2
5604,Midwest,1,2014-12-31 22:00:00-02,3
5604,Midwest,1,2015-12-31 22:00:00-02,2
5604,Midwest,1,2016-12-31 22:00:00-02,4
5604,Midwest,1,2018-12-31 22:00:00-02,1
5604,Midwest,1,2019-12-31 21:00:00-03,1
5604,Midwest,1,2021-12-31 21:00:00-03,1
5604,Midwest,1,2022-12-31 21:00:00-03,4
